,,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Amps,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Breaker Types,Conductor,Conductor,Conductor,Conductor,Cable Core,Cable Core,Cable Core,Cable Core,Cable Core,Cable Core,Cable Core,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Size,Cable Insulation,Cable Insulation,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs,Number of Runs
,,6,10,16,20,25,32,40,63,80,100,125,160,200,250,315,320,400,500,630,800,1000,1200,1250,1500,1600,2000,2500,3200,4000,5000,6300,MCB,MCCB,RCBO,RCCB,ELCB,ACB,VCB,Solid Aluminium,Solid Copper,Stranded Aluminium,Stranded Copper,1,2,3,3.5,4,5,6,1.5,2.5,4,6,10,16,25,35,50,70,95,120,150,185,240,300,400,XLPE,PVC,1,2,3,4,5,6,8,10,12,16
Amps,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,,1,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,
Amps,10,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,1,1,,,,1,1,1,,,,,,,,,,,,,,,1,1,1,,1,,,,,,,
Amps,16,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,1,,1,,,1,1,1,1,,,,,,,,,,,,,,,1,1,,1,,,,,,,
Amps,20,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,,,1,,1,,,,1,1,1,,,,,,,,,,,,,,1,1,1,,,,,,,,,
Amps,25,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,1,,,1,,1,,,,,1,1,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,
Amps,32,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,1,1,1,,1,,1,,,,,1,1,1,1,,,,,,,,,,,,1,1,1,,1,,1,,,,,
Amps,40,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,1,1,1,,1,1,1,,,,,1,1,1,1,1,,,,,,1,,,,,1,1,1,,1,1,1,,,,,
Amps,63,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,,,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,,,,,,,,,,1,1,1,,1,1,1,,,,,
Amps,80,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,1,1,1,,,,,,,,,1,,1,,,1,1,,,,,
Amps,100,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,,,1,1,1,,,,,,,1,1,1,1,,,1,,,,,,1,1,1,,,1,1,,,,,
Amps,125,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,1,1,1,1,,,,,,,,1,,1,,,1,1,,,,,
Amps,160,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,1,1,1,,,,,,1,1,1,,,1,1,,,,,
Amps,200,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,1,1,1,1,1,1,,,1,1,1,,,1,1,,,,,
Amps,250,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,1,,1,,1,1,1,1,,,1,,1,1,,1,1,,,,,
Amps,315,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,,,,,,,,,,,,,,,,1,,1,,,1,,1,,,1,,,,,,
Amps,320,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,1,1,,,,,,,,,,,,,,,1,1,,,,1,1,1,,,1,1,,,,,
Amps,400,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,1,1,1,1,1,,,,1,1,,1,1,,,,,
Amps,500,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Amps,630,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,1,1,1,,,1,1,,,,,,,,,,,,,,,1,1,1,1,,1,,,1,1,,,,1,1,,
Amps,800,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,1,,,1,,,,1,,,,,,,
Amps,1000,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,1,1,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,,1,,,,,,1,
Amps,1200,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Amps,1250,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,
Amps,1500,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,1600,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,2000,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,2500,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,3200,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amps,6300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breaker Types,MCB,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,1,,1,1,1,,,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,,1,1,1,,,,,
Breaker Types,MCCB,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,,1,,,,,,,,,,,1,,,,,,,,1,1,1,,1,1,1,1,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,1,1,,
